,tinh,project,link,kind,location,price
0,tai-soc-trang,Vạn Phát Garden: Dự án khu dân cư tại Sóc Trăng,https://cafeland.vn/du-an/van-phat-garden-du-an-khu-dan-cu-tai-soc-trang-3516.html,Đất Nền Dự Án,"Địa chỉ: TP. Sóc Trăng, Sóc Trăng",Giá thấp nhất: 580 triệu
1,tai-soc-trang,Dự án FLC Heritage Sóc Trăng,https://cafeland.vn/du-an/du-an-flc-heritage-soc-trang-3170.html,Khu Đô Thị,"Địa chỉ: mặt tiền đường là Hùng Vương và Nguyễn Chí Thanh, TP. Sóc Trăng, Sóc Trăng",Địa chỉ:
2,tai-soc-trang,Dự án Garden Home Sóc Trăng,https://cafeland.vn/du-an/du-an-garden-home-soc-trang-3168.html,Khu Đô Thị,"Địa chỉ: đường Lê Hồng Phong, TP. Sóc Trăng, Sóc Trăng","Giá thấp nhất: 2,50 tỷ"
3,tai-soc-trang,Khu dân cư Minh Châu Sóc Trăng,https://cafeland.vn/du-an/khu-dan-cu-minh-chau-soc-trang-2853.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 1A, TP. Sóc Trăng, Sóc Trăng",Địa chỉ:
4,tai-soc-trang,Khu đô thị Mekong Centre Sóc Trăng,https://cafeland.vn/du-an/khu-do-thi-mekong-centre-soc-trang-2505.html,Khu Đô Thị,"Địa chỉ: đường Mạc Đỉnh Chi, TP. Sóc Trăng, Sóc Trăng","Giá thấp nhất: 1,12 tỷ"
