,tinh,project,link,kind,location,price
0,tai-nam-dinh,Stella Nam Khánh: Dự án khu đô thị mới tại Nam Định,https://cafeland.vn/du-an/stella-nam-khanh-du-an-khu-do-thi-moi-tai-nam-dinh-4297.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 10, TP. Nam Định, Nam Định",Địa chỉ:
1,tai-nam-dinh,Khu đô thị Dệt May: Dự án tại tỉnh Nam Định,https://cafeland.vn/du-an/khu-do-thi-det-may-du-an-tai-tinh-nam-dinh-3853.html,Khu Đô Thị,"Địa chỉ: Số 43 Tô Hiệu, TP. Nam Định, Nam Định","Giá thấp nhất: 4,20 tỷ"
2,tai-nam-dinh,Khu công nghiệp Mỹ Thuận Nam Định,https://cafeland.vn/du-an/khu-cong-nghiep-my-thuan-nam-dinh-3105.html,Khu công nghiệp,"Địa chỉ: huyện Mỹ Lộc và huyện Vụ Bản, Vụ Bản, Nam Định",Địa chỉ:
