,tinh,project,link,kind,location,price
0,tai-quang-tri,Gold City Quảng Trị RiverSide: Dự án khu đô thị tại Quảng Trị,https://cafeland.vn/du-an/gold-city-quang-tri-riverside-du-an-khu-do-thi-tai-quang-tri-4075.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 1A, TX. Quảng Trị, Quảng Trị",Địa chỉ:
1,tai-quang-tri,Gio Hải: Dự án khu du lịch dịch vụ tại Quảng Trị,https://cafeland.vn/du-an/gio-hai-du-an-khu-du-lich-dich-vu-tai-quang-tri-3905.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Quốc Phòng, Gio Linh, Quảng Trị",Địa chỉ:
2,tai-quang-tri,Dự án Vincom Shophouse Royal Park Quảng Trị,https://cafeland.vn/du-an/du-an-vincom-shophouse-royal-park-quang-tri-3282.html,Loại Hình Khác,"Địa chỉ: đường Hùng Vương, TP. Đông Hà, Quảng Trị","Giá thấp nhất: 5,22 tỷ"
3,tai-quang-tri,Dự án Vincom Shophouse Đông Hà Quảng Trị,https://cafeland.vn/du-an/du-an-vincom-shophouse-dong-ha-quang-tri-3177.html,Loại Hình Khác,"Địa chỉ: Đường Hùng Vương, TP. Đông Hà, Quảng Trị",Địa chỉ:
4,tai-quang-tri,Dự án Fidel Central Park Quảng Trị,https://cafeland.vn/du-an/du-an-fidel-central-park-quang-tri-3108.html,Khu Đô Thị,"Địa chỉ: 167 Trần Hưng Đạo, TP. Đông Hà, Quảng Trị","Giá thấp nhất: 4,99 tỷ"
5,tai-quang-tri,Khu đô thị sinh thái biển AE Resort Cửa Tùng,https://cafeland.vn/du-an/khu-do-thi-sinh-thai-bien-ae-resort-cua-tung-2269.html,Khu Đô Thị,"Địa chỉ: Cửa Tùng – vịnh Mốc, Vĩnh Linh, Quảng Trị","Giá thấp nhất: 3,33 tỷ"
