,tinh,project,link,kind,location,price
18,tai-thanh-hoa,La Fiesta: Phân khu nhà phố thương mại tại Sun Grand Boulevard Thanh Hóa,https://cafeland.vn/du-an/la-fiesta-phan-khu-nha-pho-thuong-mai-tai-sun-grand-boulevard-thanh-hoa-3735.html,Loại Hình Khác,"Địa chỉ: Trục đại lộ Sun Grand Boulevard, TP. Sầm Sơn, Thanh Hóa",Địa chỉ:
19,tai-thanh-hoa,Solaria Center: Dự án khu nhà ở thương mại và dịch vụ tại thành phố Sầm Sơn,https://cafeland.vn/du-an/solaria-center-du-an-khu-nha-o-thuong-mai-va-dich-vu-tai-thanh-pho-sam-son-3681.html,Loại Hình Khác,"Địa chỉ: Đường Nguyễn Du,, TP. Sầm Sơn, Thanh Hóa","Giá thấp nhất: 3,46 tỷ"
20,tai-thanh-hoa,Khu đô thị sinh thái sông Đơ: Dự án tại tỉnh Thanh Hóa,https://cafeland.vn/du-an/khu-do-thi-sinh-thai-song-do-du-an-tai-tinh-thanh-hoa-3666.html,Khu Đô Thị,"Địa chỉ: Dọc hai bờ Sông Đơ,, TP. Sầm Sơn, Thanh Hóa",Địa chỉ:
21,tai-thanh-hoa,Triệu Sơn New Central: Dự án khu dân cư tại tỉnh Thanh Hóa,https://cafeland.vn/du-an/trieu-son-new-central-du-an-khu-dan-cu-tai-tinh-thanh-hoa-3608.html,Khu Đô Thị,"Địa chỉ: Thị trấn Triệu Sơn, Triệu Sơn, Thanh Hóa","Giá thấp nhất: 1,33 tỷ"
22,tai-thanh-hoa,"Khu dân cư Phú Quý – Dự án liền kề, biệt thự tại Thanh Hóa",https://cafeland.vn/du-an/khu-dan-cu-phu-quy-du-an-lien-ke-biet-thu-tai-thanh-hoa-3571.html,Khu Đô Thị,"Địa chỉ: Hoằng Hóa, Thanh Hóa",Giá thấp nhất: 400 triệu
23,tai-thanh-hoa,Quảng Hưng Central Point: Dự án khu dân cư tại Thanh Hóa,https://cafeland.vn/du-an/quang-hung-central-point-du-an-khu-dan-cu-tai-thanh-hoa-3546.html,Đất Nền Dự Án,"Địa chỉ: đường Trịnh Kiểm, TP. Thanh Hóa, Thanh Hóa","Giá thấp nhất: 1,95 tỷ"
24,tai-thanh-hoa,Đồng Nam Residence: Dự án khu dân cư tại Thanh Hóa,https://cafeland.vn/du-an/dong-nam-residence-du-an-khu-dan-cu-tai-thanh-hoa-3545.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 47, Đông Sơn, Thanh Hóa","Giá thấp nhất: 1,26 tỷ"
25,tai-thanh-hoa,Bến En: Khu du lịch nghỉ dưỡng tại Thanh Hóa,https://cafeland.vn/du-an/ben-en-khu-du-lich-nghi-duong-tai-thanh-hoa-3462.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Như Thanh, Thanh Hóa",Địa chỉ:
26,tai-thanh-hoa,Sao Mai Lam Sơn - Sao Vàng: Dự án khu đô thị mới Thanh Hóa,https://cafeland.vn/du-an/sao-mai-lam-son-sao-vang-du-an-khu-do-thi-moi-thanh-hoa-3438.html,Khu Đô Thị,"Địa chỉ: đường Nghi Sơn - Sao Vàng, Thọ Xuân, Thanh Hóa",Địa chỉ:
27,tai-thanh-hoa,Resort Sao Mai: Dự án khu nghỉ dưỡng sinh thái Thanh Hóa,https://cafeland.vn/du-an/resort-sao-mai-du-an-khu-nghi-duong-sinh-thai-thanh-hoa-3436.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Thọ Xuân, Thanh Hóa",Địa chỉ:
28,tai-thanh-hoa,Phân Khu The Link – Sun Riverside Village Sầm Sơn,https://cafeland.vn/du-an/phan-khu-the-link-sun-riverside-village-sam-son-3313.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đại lộ Nam Sông Mã, TP. Sầm Sơn, Thanh Hóa","Giá thấp nhất: 8,43 tỷ"
29,tai-thanh-hoa,Khu đô thị Vlasta Sầm Sơn Thanh Hóa,https://cafeland.vn/du-an/khu-do-thi-vlasta-sam-son-thanh-hoa-3276.html,Khu Đô Thị,"Địa chỉ: đường 4D, Quảng Xương, Thanh Hóa",Địa chỉ:
30,tai-thanh-hoa,Khu đô thị AMC – El Dorado Thanh Hóa,https://cafeland.vn/du-an/khu-do-thi-amc-el-dorado-thanh-hoa-3275.html,Khu Đô Thị,"Địa chỉ: đường Võ Nguyên Giáp, TP. Thanh Hóa, Thanh Hóa",Địa chỉ:
31,tai-thanh-hoa,Phân khu Ibiza Party Resort Hải Tiến Thanh Hóa,https://cafeland.vn/du-an/phan-khu-ibiza-party-resort-hai-tien-thanh-hoa-3271.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: bãi biển Hải Tiến, Hoằng Hóa, Thanh Hóa","Giá thấp nhất: 1,60 tỷ"
32,tai-thanh-hoa,Khu đô thị Green city Thanh Hóa,https://cafeland.vn/du-an/khu-do-thi-green-city-thanh-hoa-3257.html,Đất Nền Dự Án,"Địa chỉ: TP. Thanh Hóa, Thanh Hóa","Giá thấp nhất: 1,40 tỷ"
33,tai-thanh-hoa,Khu dân cư Lightland Hải Tiến Thanh Hóa,https://cafeland.vn/du-an/khu-dan-cu-lightland-hai-tien-thanh-hoa-3169.html,Khu Đô Thị,"Địa chỉ: Ngã 5, xã Hoằng Ngọc, Hoằng Hóa, Thanh Hóa",Địa chỉ:
34,tai-thanh-hoa,Dự án Sun Beauty Onsen Thanh Hóa,https://cafeland.vn/du-an/du-an-sun-beauty-onsen-thanh-hoa-3167.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Quốc lộ 45, Quảng Xương, Thanh Hóa",Địa chỉ:
35,tai-thanh-hoa,Dự án TNR Stars Lam Sơn Thanh Hóa,https://cafeland.vn/du-an/du-an-tnr-stars-lam-son-thanh-hoa-3164.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 47 và đường Hồ Chí Minh, Thọ Xuân, Thanh Hóa",Giá thấp nhất: 910 triệu
